"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 09:57:05 UTC 2022","Wed Jun 01 09:57:49 UTC 2022","43859","","C36: The sales manager can move the project to the next week","","C36: The sales manager can move the project to the next week","Should edit created project projectirk10","Should edit created project projectirk10",""
"passed","Wed Jun 01 09:49:54 UTC 2022","Wed Jun 01 09:49:56 UTC 2022","2239","","C6: Login to ""Master Schedule"" application with invalid short password at Staging server.","","C6: Login to ""Master Schedule"" application with invalid short password at Staging server.","Should fill the ""Email"" input with the valid data and ""Password"" with 1 to 5 random symbols.","Should fill the ""Email"" input with the valid data and ""Password"" with 1 to 5 random symbols.",""
"passed","Wed Jun 01 10:09:00 UTC 2022","Wed Jun 01 10:09:40 UTC 2022","40490","","C58: The scheduler can't delete a configuration if there are already projects attached to this working week","","C58: The scheduler can't delete a configuration if there are already projects attached to this working week","Should try to delete created configuration with project.","Should try to delete created configuration with project.",""
"passed","Wed Jun 01 09:57:51 UTC 2022","Wed Jun 01 09:58:33 UTC 2022","42271","","C37: The scheduler can move the project to the next week","","C37: The scheduler can move the project to the next week","Should edit created project projectrcsec","Should edit created project projectrcsec",""
"passed","Wed Jun 01 09:52:28 UTC 2022","Wed Jun 01 09:52:53 UTC 2022","24968","","C38: Searching with invalid project name","","C38: Searching with invalid project name","Should search for created project: project97ulz1","Should search for created project: project97ulz1",""
"passed","Wed Jun 01 10:04:06 UTC 2022","Wed Jun 01 10:04:17 UTC 2022","10498","","C19: The scheduler can delete input field for an existing column.","","C19: The scheduler can delete input field for an existing column.","Should verify that input is deleted in reserve form","Should verify that input is deleted in reserve form",""
"passed","Wed Jun 01 10:07:06 UTC 2022","Wed Jun 01 10:07:10 UTC 2022","4912","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","","C39: After creating first configuration for a region we get all the available slots per weeks for the calendar year.","Should add configuration","Should add configuration",""
"passed","Wed Jun 01 09:52:05 UTC 2022","Wed Jun 01 09:52:26 UTC 2022","20610","","C26: Searching with empty request","","C26: Searching with empty request","Should search with empty fields","Should search with empty fields",""
"passed","Wed Jun 01 09:55:33 UTC 2022","Wed Jun 01 09:56:28 UTC 2022","54954","","C34: The scheduler can't exceed the slot reservation limit","","C34: The scheduler can't exceed the slot reservation limit","Should verify that can't move project projectwisxy1 to date without empty slots","Should verify that can't move project projectwisxy1 to date without empty slots",""
"passed","Wed Jun 01 10:06:37 UTC 2022","Wed Jun 01 10:06:48 UTC 2022","10745","","C14: The scheduler can add a configuration with certain date for the United States of America country.","","C14: The scheduler can add a configuration with certain date for the United States of America country.","Should set filters as you set for scheduling date.","Should set filters as you set for scheduling date.",""
